tweet_text,intent,should_escalate,expected_response
@AppleSupport Latest version 😡😡 I have read the help page turned off virtually all apps and location svs too - but in typing this I dropped 3% life,Technical / Billing / General,False,Historical grounded response
@AppleSupport causing the reply to be disregarded and the tapped notification under the keyboard is opened😡😡😡,Technical / Billing / General,False,Historical grounded response
@76099 @AppleSupport fix this update. It’s horrible,Technical / Billing / General,False,Historical grounded response
@AppleSupport I have the latest version iOS. It started immediately after I updated my phone.,Technical / Billing / General,False,Historical grounded response
"@AppleSupport hi #apple, I’ve a concern about the latest ios is too slow on #iphone6 and i am not happy with it. Any solution please?",Technical / Billing / General,False,Historical grounded response
"@105838 @AppleSupport Me too am suffering , hope the can find a solution",Technical / Billing / General,False,Historical grounded response
@AppleSupport I need a new code for my I-store. I haven’t recd any but msg is too many sent. Help!,Technical / Billing / General,False,Historical grounded response
"@AppleSupport Can you get my iPhone 7plus back on the old iOS please?  Battery runs out in half the time, apps now frequently crash.",Technical / Billing / General,False,Historical grounded response
@AppleSupport #ios11update - is still killing my battery within 12 hours - phone is 10 months old - it’s a disgrace - used to get 2 days,Technical / Billing / General,False,Historical grounded response
"@AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",Technical / Billing / General,False,Historical grounded response
@AppleSupport Super help - problem solved 😀 once again in love with Apple,Technical / Billing / General,False,Historical grounded response
