tweet_text,intent,should_escalate,expected_response
@AppleSupport causing the reply to be disregarded and the tapped notification under the keyboard is opened😡😡😡,Technical / Billing / General,False,Historical grounded response
@76328 I really hope you all change but I'm sure you won't! Because you don't have to!,Technical / Billing / General,False,Historical grounded response
@VirginTrains see attached error message. I've tried leaving a voicemail several times in the past week https://t.co/NxVZjlYx1k,Technical / Billing / General,False,Historical grounded response
"@VirginTrains yep, I've tried laptop too several times over the past week and again today. I've tried different browsers too",Technical / Billing / General,False,Historical grounded response
@VirginTrains I still haven't heard &amp; the number I'm directed to by phone is a dead end &amp; the live chat doesn't work. Can someone call me?,Technical / Billing / General,False,Historical grounded response
"@105838 @AppleSupport Me too am suffering , hope the can find a solution",Technical / Billing / General,False,Historical grounded response
"@AppleSupport hi #apple, I’ve a concern about the latest ios is too slow on #iphone6 and i am not happy with it. Any solution please?",Technical / Billing / General,False,Historical grounded response
I just updated my phone and suddenly everything takes ages to load wtf @76099 this update sux I hate it fix it bye,Technical / Billing / General,False,Historical grounded response
@SpotifyCares Thanks! Version 8.4.22.857 armv7 on anker bluetooth speaker on Samsung Galaxy Tab A (2016) Model SM-T280 Does distance from speaker matter?,Technical / Billing / General,False,Historical grounded response
"@SpotifyCares No, but I've moved speaker to about 1 metre away and it's not skipping at the mo - it was about 3 or 4 metres away before. Fingers crossed!",Technical / Billing / General,False,Historical grounded response
@SpotifyCares Brilliant thanks 😊,Technical / Billing / General,False,Historical grounded response
@76495 @91226 Please help! Spotify Premium skipping through songs constantly on android tablet &amp; bluetooth speaker. Tried everything!,Technical / Billing / General,False,Historical grounded response
"@AppleSupport after the 11.0.2 my phone just sucks most of the apps are broken, wifi disconnects frequently #apple #ios1102 #painfulupdate",Technical / Billing / General,False,Historical grounded response
First flight for long time with @British_Airways. Now over one 1h delay for the short jump FRA-LCY and NO one here to provide status updates,Technical / Billing / General,False,Historical grounded response
Okay @76099 I used my fucking phone for 2 minutes and it drains it down 8 fucking percent,Technical / Billing / General,False,Historical grounded response
"@AppleSupport Can you get my iPhone 7plus back on the old iOS please?  Battery runs out in half the time, apps now frequently crash.",Technical / Billing / General,False,Historical grounded response
You’ve paralysed my phone with your update @76099 grrrrrrrrrr,Technical / Billing / General,False,Historical grounded response
"@O2 I received this a few weeks ago, since then I've been getting 2/3 calls a day from a telemarketer. Is someone using your name? https://t.co/GLtz4XHcex",Technical / Billing / General,False,Historical grounded response
"My internet is down and xfinity talkin about 24-72 hours... y’all have the game messed up. 

@77245",Technical / Billing / General,False,Historical grounded response
@76803  I service last 40 min sprint can I get a refund https://t.co/wYPw9hP6wt,Technical / Billing / General,False,Historical grounded response
So the new @76099 update does not let me listen to music and go on whatsapp at the same time?!?,Technical / Billing / General,False,Historical grounded response
@SpotifyCares seems to be working at this stage. Will let you know if it happens again. Cheers,Technical / Billing / General,False,Historical grounded response
@SpotifyCares problem has come back again today. is there some kind of bug?,Technical / Billing / General,False,Historical grounded response
"@SpotifyCares It's on a Macbook Air (early 2014), running High Sierra, spotify version 1.0.65.320.gac7a8e02",Technical / Billing / General,False,Historical grounded response
@SpotifyCares i've been having issues with playback. songs have been stopping midway through and won't restart unless i close and reopen app,Technical / Billing / General,False,Historical grounded response
@AppleSupport Latest version 😡😡 I have read the help page turned off virtually all apps and location svs too - but in typing this I dropped 3% life,Technical / Billing / General,False,Historical grounded response
@AppleSupport Super help - problem solved 😀 once again in love with Apple,Technical / Billing / General,False,Historical grounded response
@AppleSupport #ios11update - is still killing my battery within 12 hours - phone is 10 months old - it’s a disgrace - used to get 2 days,Technical / Billing / General,False,Historical grounded response
